,game,team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,year_month
2451,GSW @ HOU 2018-05-14,HOU,240.0,39.0,85.0,0.45899999999999996,13.0,37.0,0.35100000000000003,15.0,21.0,0.7140000000000001,7.0,35.0,42.0,18.0,5.0,3.0,13.0,23.0,106.0,,0.562,0.535,0.435,0.247,17.1,92.1,53.2,46.2,5.2,6.4,12.1,100.0,109.4,122.8,201805
2452,GSW @ HOU 2018-05-16,GSW,240.0,39.0,85.0,0.45899999999999996,9.0,30.0,0.3,18.0,22.0,0.818,9.0,27.0,36.0,21.0,6.0,4.0,15.0,22.0,105.0,,0.5539999999999999,0.512,0.353,0.259,19.6,73.0,43.4,53.8,6.0,8.7,13.7,100.0,105.8,127.9,201805
2453,GSW @ HOU 2018-05-16,HOU,240.0,45.0,88.0,0.511,16.0,42.0,0.381,21.0,27.0,0.778,10.0,37.0,47.0,23.0,8.0,1.0,13.0,24.0,127.0,,0.636,0.602,0.47700000000000004,0.307,27.0,80.4,56.6,51.1,8.1,1.8,11.5,100.0,127.9,105.8,201805
2454,GSW @ HOU 2018-05-24,GSW,240.0,32.0,72.0,0.444,10.0,26.0,0.385,20.0,23.0,0.87,4.0,37.0,41.0,18.0,7.0,1.0,16.0,21.0,94.0,,0.5720000000000001,0.514,0.361,0.319,11.1,82.2,50.6,56.3,7.6,2.9,16.3,100.0,102.2,106.6,201805
2455,GSW @ HOU 2018-05-24,HOU,240.0,29.0,78.0,0.37200000000000005,13.0,43.0,0.302,27.0,32.0,0.8440000000000001,8.0,32.0,40.0,12.0,10.0,3.0,10.0,19.0,98.0,,0.532,0.455,0.551,0.41,17.8,88.9,49.4,41.4,10.9,6.5,9.8,100.0,106.6,102.2,201805
2456,GSW @ HOU 2018-05-28,GSW,240.0,39.0,80.0,0.488,16.0,39.0,0.41,7.0,14.0,0.5,11.0,31.0,42.0,25.0,9.0,7.0,16.0,22.0,101.0,,0.586,0.588,0.488,0.175,28.9,64.6,48.8,64.1,10.0,15.2,15.7,100.0,112.7,102.7,201805
2457,GSW @ HOU 2018-05-28,HOU,240.0,36.0,90.0,0.4,7.0,44.0,0.159,13.0,22.0,0.591,17.0,27.0,44.0,17.0,13.0,3.0,12.0,17.0,92.0,,0.461,0.439,0.489,0.244,35.4,71.1,51.2,47.2,14.5,7.3,10.7,100.0,102.7,112.7,201805
2458,GSW @ IND 2015-12-08,GSW,240.0,52.0,95.0,0.547,16.0,35.0,0.457,11.0,15.0,0.733,10.0,36.0,46.0,29.0,10.0,6.0,15.0,19.0,131.0,,0.645,0.632,0.368,0.158,26.3,69.2,51.1,55.8,9.4,9.0,12.9,100.0,123.7,116.1,201512
2459,GSW @ IND 2015-12-08,IND,240.0,44.0,100.0,0.44,14.0,33.0,0.424,21.0,26.0,0.8079999999999999,16.0,28.0,44.0,23.0,8.0,3.0,16.0,18.0,123.0,,0.552,0.51,0.33,0.26,30.8,73.7,48.9,52.3,7.6,5.0,12.6,100.0,116.1,123.7,201512
2460,GSW @ IND 2016-11-21,GSW,240.0,40.0,90.0,0.444,13.0,36.0,0.361,27.0,32.0,0.8440000000000001,12.0,48.0,60.0,31.0,9.0,10.0,12.0,17.0,120.0,,0.5760000000000001,0.517,0.4,0.35600000000000004,26.1,76.2,55.0,77.5,8.9,12.5,10.3,100.0,118.9,82.3,201611
2461,GSW @ IND 2016-11-21,IND,240.0,33.0,103.0,0.32,6.0,23.0,0.261,11.0,12.0,0.917,15.0,34.0,49.0,13.0,5.0,4.0,11.0,23.0,83.0,,0.38299999999999995,0.35,0.223,0.11699999999999999,23.8,73.9,45.0,39.4,5.0,7.4,9.2,100.0,82.3,118.9,201611
2462,GSW @ IND 2018-04-05,GSW,240.0,37.0,83.0,0.446,9.0,29.0,0.31,23.0,24.0,0.958,13.0,26.0,39.0,29.0,6.0,5.0,16.0,14.0,106.0,,0.5660000000000001,0.5,0.349,0.289,27.7,66.7,45.3,78.4,6.3,7.8,14.6,100.0,111.2,132.2,201804
2463,GSW @ IND 2018-04-05,IND,240.0,50.0,93.0,0.5379999999999999,15.0,29.0,0.517,11.0,15.0,0.733,13.0,34.0,47.0,32.0,11.0,3.0,12.0,24.0,126.0,,0.633,0.618,0.312,0.161,33.3,72.3,54.7,64.0,11.5,5.6,10.8,100.0,132.2,111.2,201804
2464,GSW @ LAC 2015-11-19,GSW,240.0,38.0,73.0,0.521,17.0,30.0,0.5670000000000001,31.0,36.0,0.861,8.0,36.0,44.0,31.0,4.0,4.0,19.0,20.0,124.0,,0.698,0.637,0.41100000000000003,0.493,23.5,80.0,55.7,81.6,4.1,6.8,17.6,100.0,126.7,119.5,201511
