match,date_ref,game_full_names,result,odds_away,odds_home,B's,fl_playoff,fl_pre_season,date,team_home,team_away,PTS_home,PTS_away,fl_home_win
CLE @ GSW 2018-06-09,09 Jun 2018 - Play Offs,Cleveland Cavaliers - Golden State Warriors,85:108,2.43,1.6,13.0,1,0,2018-06-09,GSW,CLE,85,108,0
CLE @ GSW 2018-06-07,07 Jun 2018 - Play Offs,Cleveland Cavaliers - Golden State Warriors,102:110,2.28,1.67,13.0,1,0,2018-06-07,GSW,CLE,102,110,0
GSW @ CLE 2018-06-04,04 Jun 2018 - Play Offs,Golden State Warriors - Cleveland Cavaliers,122:103,1.18,5.27,13.0,1,0,2018-06-04,CLE,GSW,122,103,1
GSW @ CLE 2018-06-01,01 Jun 2018 - Play Offs,Golden State Warriors - Cleveland Cavaliers,124:114 OT,1.11,7.18,13.0,1,0,2018-06-01,CLE,GSW,124,114,1
HOU @ GSW 2018-05-29,29 May 2018 - Play Offs,Houston Rockets - Golden State Warriors,92:101,3.30,1.36,13.0,1,0,2018-05-29,GSW,HOU,92,101,0
BOS @ CLE 2018-05-28,28 May 2018 - Play Offs,Boston Celtics - Cleveland Cavaliers,79:87,1.69,2.24,13.0,1,0,2018-05-28,CLE,BOS,79,87,0
GSW @ HOU 2018-05-27,27 May 2018 - Play Offs,Golden State Warriors - Houston Rockets,115:86,1.10,7.82,13.0,1,0,2018-05-27,HOU,GSW,115,86,1
CLE @ BOS 2018-05-26,26 May 2018 - Play Offs,Cleveland Cavaliers - Boston Celtics,109:99,1.30,3.7,13.0,1,0,2018-05-26,BOS,CLE,109,99,1
HOU @ GSW 2018-05-25,25 May 2018 - Play Offs,Houston Rockets - Golden State Warriors,98:94,1.96,1.9,13.0,1,0,2018-05-25,GSW,HOU,98,94,1
BOS @ CLE 2018-05-24,24 May 2018 - Play Offs,Boston Celtics - Cleveland Cavaliers,96:83,1.84,2.03,13.0,1,0,2018-05-24,CLE,BOS,96,83,1
GSW @ HOU 2018-05-23,23 May 2018 - Play Offs,Golden State Warriors - Houston Rockets,92:95,1.25,4.28,13.0,1,0,2018-05-23,HOU,GSW,92,95,0
CLE @ BOS 2018-05-22,22 May 2018 - Play Offs,Cleveland Cavaliers - Boston Celtics,111:102,1.31,3.64,13.0,1,0,2018-05-22,BOS,CLE,111,102,1
GSW @ HOU 2018-05-21,21 May 2018 - Play Offs,Golden State Warriors - Houston Rockets,126:85,1.28,3.89,13.0,1,0,2018-05-21,HOU,GSW,126,85,1
CLE @ BOS 2018-05-20,20 May 2018 - Play Offs,Cleveland Cavaliers - Boston Celtics,116:86,1.34,3.42,13.0,1,0,2018-05-20,BOS,CLE,116,86,1
HOU @ GSW 2018-05-17,17 May 2018 - Play Offs,Houston Rockets - Golden State Warriors,127:105,1.80,2.07,13.0,1,0,2018-05-17,GSW,HOU,127,105,1
BOS @ CLE 2018-05-16,16 May 2018 - Play Offs,Boston Celtics - Cleveland Cavaliers,107:94,1.92,1.93,13.0,1,0,2018-05-16,CLE,BOS,107,94,1
HOU @ GSW 2018-05-15,15 May 2018 - Play Offs,Houston Rockets - Golden State Warriors,106:119,1.77,2.11,13.0,1,0,2018-05-15,GSW,HOU,106,119,0
BOS @ CLE 2018-05-13,13 May 2018 - Play Offs,Boston Celtics - Cleveland Cavaliers,108:83,1.98,1.88,13.0,1,0,2018-05-13,CLE,BOS,108,83,1
BOS @ PHI 2018-05-10,10 May 2018 - Play Offs,Boston Celtics - Philadelphia 76ers,114:112,1.82,2.04,13.0,1,0,2018-05-10,PHI,BOS,114,112,1
GSW @ NOP 2018-05-09,09 May 2018 - Play Offs,Golden State Warriors - New Orleans Pelicans,113:104,1.11,7.37,13.0,1,0,2018-05-09,NOP,GSW,113,104,1
HOU @ UTA 2018-05-09,09 May 2018 - Play Offs,Houston Rockets - Utah Jazz,112:102,1.11,7.48,13.0,1,0,2018-05-09,UTA,HOU,112,102,1
CLE @ TOR 2018-05-08,08 May 2018 - Play Offs,Cleveland Cavaliers - Toronto Raptors,128:93,1.47,2.78,13.0,1,0,2018-05-08,TOR,CLE,128,93,1
PHI @ BOS 2018-05-07,07 May 2018 - Play Offs,Philadelphia 76ers - Boston Celtics,103:92,1.31,3.66,13.0,1,0,2018-05-07,BOS,PHI,103,92,1
UTA @ HOU 2018-05-07,07 May 2018 - Play Offs,Utah Jazz - Houston Rockets,87:100,3.23,1.37,13.0,1,0,2018-05-07,HOU,UTA,87,100,0
NOP @ GSW 2018-05-06,06 May 2018 - Play Offs,New Orleans Pelicans - Golden State Warriors,92:118,3.11,1.39,13.0,1,0,2018-05-06,GSW,NOP,92,118,0
CLE @ TOR 2018-05-06,06 May 2018 - Play Offs,Cleveland Cavaliers - Toronto Raptors,105:103,1.52,2.65,13.0,1,0,2018-05-06,TOR,CLE,105,103,1
PHI @ BOS 2018-05-05,05 May 2018 - Play Offs,Philadelphia 76ers - Boston Celtics,98:101 OT,1.20,4.84,13.0,1,0,2018-05-05,BOS,PHI,98,101,0
UTA @ HOU 2018-05-05,05 May 2018 - Play Offs,Utah Jazz - Houston Rockets,92:113,2.68,1.51,13.0,1,0,2018-05-05,HOU,UTA,92,113,0
NOP @ GSW 2018-05-05,05 May 2018 - Play Offs,New Orleans Pelicans - Golden State Warriors,119:100,2.82,1.46,13.0,1,0,2018-05-05,GSW,NOP,119,100,1
BOS @ PHI 2018-05-04,04 May 2018 - Play Offs,Boston Celtics - Philadelphia 76ers,108:103,2.49,1.58,13.0,1,0,2018-05-04,PHI,BOS,108,103,1
TOR @ CLE 2018-05-03,03 May 2018 - Play Offs,Toronto Raptors - Cleveland Cavaliers,110:128,1.35,3.37,13.0,1,0,2018-05-03,CLE,TOR,110,128,0
HOU @ UTA 2018-05-03,03 May 2018 - Play Offs,Houston Rockets - Utah Jazz,108:116,1.11,7.14,13.0,1,0,2018-05-03,UTA,HOU,108,116,0
GSW @ NOP 2018-05-02,02 May 2018 - Play Offs,Golden State Warriors - New Orleans Pelicans,121:116,1.13,6.61,13.0,1,0,2018-05-02,NOP,GSW,121,116,1
TOR @ CLE 2018-05-02,02 May 2018 - Play Offs,Toronto Raptors - Cleveland Cavaliers,112:113 OT,1.36,3.33,13.0,1,0,2018-05-02,CLE,TOR,112,113,0
BOS @ PHI 2018-05-01,01 May 2018 - Play Offs,Boston Celtics - Philadelphia 76ers,117:101,2.72,1.49,13.0,1,0,2018-05-01,PHI,BOS,117,101,1
HOU @ UTA 2018-04-29,29 Apr 2018 - Play Offs,Houston Rockets - Utah Jazz,110:96,1.11,7.37,13.0,1,0,2018-04-29,UTA,HOU,110,96,1
CLE @ IND 2018-04-29,29 Apr 2018 - Play Offs,Cleveland Cavaliers - Indiana Pacers,105:101,1.40,3.07,13.0,1,0,2018-04-29,IND,CLE,105,101,1
GSW @ NOP 2018-04-29,29 Apr 2018 - Play Offs,Golden State Warriors - New Orleans Pelicans,123:101,1.29,3.79,13.0,1,0,2018-04-29,NOP,GSW,123,101,1
BOS @ MIL 2018-04-29,29 Apr 2018 - Play Offs,Boston Celtics - Milwaukee Bucks,112:96,1.49,2.71,13.0,1,0,2018-04-29,MIL,BOS,112,96,1
UTA @ OKC 2018-04-28,28 Apr 2018 - Play Offs,Utah Jazz - Oklahoma City Thunder,96:91,1.35,3.37,13.0,1,0,2018-04-28,OKC,UTA,96,91,1
IND @ CLE 2018-04-28,28 Apr 2018 - Play Offs,Indiana Pacers - Cleveland Cavaliers,121:87,1.79,2.09,13.0,1,0,2018-04-28,CLE,IND,121,87,1
WAS @ TOR 2018-04-27,27 Apr 2018 - Play Offs,Washington Wizards - Toronto Raptors,92:102,2.10,1.78,13.0,1,0,2018-04-27,TOR,WAS,92,102,0
MIL @ BOS 2018-04-27,27 Apr 2018 - Play Offs,Milwaukee Bucks - Boston Celtics,97:86,1.50,2.7,13.0,1,0,2018-04-27,BOS,MIL,97,86,1
HOU @ MIN 2018-04-26,26 Apr 2018 - Play Offs,Houston Rockets - Minnesota Timberwolves,122:104,1.09,8.08,13.0,1,0,2018-04-26,MIN,HOU,122,104,1
OKC @ UTA 2018-04-26,26 Apr 2018 - Play Offs,Oklahoma City Thunder - Utah Jazz,107:99,1.69,2.24,13.0,1,0,2018-04-26,UTA,OKC,107,99,1
CLE @ IND 2018-04-25,25 Apr 2018 - Play Offs,Cleveland Cavaliers - Indiana Pacers,98:95,1.34,3.41,13.0,1,0,2018-04-25,IND,CLE,98,95,1
TOR @ WAS 2018-04-25,25 Apr 2018 - Play Offs,Toronto Raptors - Washington Wizards,108:98,1.32,3.54,13.0,1,0,2018-04-25,WAS,TOR,108,98,1
GSW @ SAS 2018-04-25,25 Apr 2018 - Play Offs,Golden State Warriors - San Antonio Spurs,99:91,1.12,6.95,13.0,1,0,2018-04-25,SAS,GSW,99,91,1
PHI @ MIA 2018-04-25,25 Apr 2018 - Play Offs,Philadelphia 76ers - Miami Heat,104:91,1.16,5.69,13.0,1,0,2018-04-25,MIA,PHI,104,91,1
BOS @ MIL 2018-04-24,24 Apr 2018 - Play Offs,Boston Celtics - Milwaukee Bucks,92:87,1.52,2.64,13.0,1,0,2018-04-24,MIL,BOS,92,87,1
UTA @ OKC 2018-04-24,24 Apr 2018 - Play Offs,Utah Jazz - Oklahoma City Thunder,113:96,1.49,2.73,13.0,1,0,2018-04-24,OKC,UTA,113,96,1
MIN @ HOU 2018-04-24,24 Apr 2018 - Play Offs,Minnesota Timberwolves - Houston Rockets,100:119,3.07,1.41,13.0,1,0,2018-04-24,HOU,MIN,100,119,0
IND @ CLE 2018-04-23,23 Apr 2018 - Play Offs,Indiana Pacers - Cleveland Cavaliers,100:104,2.04,1.82,12.0,1,0,2018-04-23,CLE,IND,100,104,0
WAS @ TOR 2018-04-22,22 Apr 2018 - Play Offs,Washington Wizards - Toronto Raptors,106:98,2.03,1.83,12.0,1,0,2018-04-22,TOR,WAS,106,98,1
SAS @ GSW 2018-04-22,22 Apr 2018 - Play Offs,San Antonio Spurs - Golden State Warriors,103:90,3.35,1.35,12.0,1,0,2018-04-22,GSW,SAS,103,90,1
MIL @ BOS 2018-04-22,22 Apr 2018 - Play Offs,Milwaukee Bucks - Boston Celtics,104:102,1.43,2.95,12.0,1,0,2018-04-22,BOS,MIL,104,102,1
UTA @ OKC 2018-04-22,22 Apr 2018 - Play Offs,Utah Jazz - Oklahoma City Thunder,115:102,1.46,2.83,13.0,1,0,2018-04-22,OKC,UTA,115,102,1
MIN @ HOU 2018-04-21,21 Apr 2018 - Play Offs,Minnesota Timberwolves - Houston Rockets,121:105,3.08,1.4,12.0,1,0,2018-04-21,HOU,MIN,121,105,1
NOP @ POR 2018-04-21,21 Apr 2018 - Play Offs,New Orleans Pelicans - Portland Trail Blazers,131:123,1.36,3.31,12.0,1,0,2018-04-21,POR,NOP,131,123,1
MIA @ PHI 2018-04-21,21 Apr 2018 - Play Offs,Miami Heat - Philadelphia 76ers,102:106,2.48,1.58,12.0,1,0,2018-04-21,PHI,MIA,102,106,0
MIL @ BOS 2018-04-21,21 Apr 2018 - Play Offs,Milwaukee Bucks - Boston Celtics,116:92,1.46,2.84,13.0,1,0,2018-04-21,BOS,MIL,116,92,1
WAS @ TOR 2018-04-21,21 Apr 2018 - Play Offs,Washington Wizards - Toronto Raptors,122:103,1.88,1.97,13.0,1,0,2018-04-21,TOR,WAS,122,103,1
IND @ CLE 2018-04-20,20 Apr 2018 - Play Offs,Indiana Pacers - Cleveland Cavaliers,92:90,1.82,2.05,13.0,1,0,2018-04-20,CLE,IND,92,90,1
SAS @ GSW 2018-04-20,20 Apr 2018 - Play Offs,San Antonio Spurs - Golden State Warriors,97:110,2.42,1.61,13.0,1,0,2018-04-20,GSW,SAS,97,110,0
NOP @ POR 2018-04-20,20 Apr 2018 - Play Offs,New Orleans Pelicans - Portland Trail Blazers,119:102,1.61,2.42,13.0,1,0,2018-04-20,POR,NOP,119,102,1
MIA @ PHI 2018-04-19,19 Apr 2018 - Play Offs,Miami Heat - Philadelphia 76ers,108:128,2.23,1.71,13.0,1,0,2018-04-19,PHI,MIA,108,128,0
HOU @ MIN 2018-04-19,19 Apr 2018 - Play Offs,Houston Rockets - Minnesota Timberwolves,102:82,1.13,6.39,13.0,1,0,2018-04-19,MIN,HOU,102,82,1
OKC @ UTA 2018-04-19,19 Apr 2018 - Play Offs,Oklahoma City Thunder - Utah Jazz,95:102,1.59,2.46,13.0,1,0,2018-04-19,UTA,OKC,95,102,0
CLE @ IND 2018-04-18,18 Apr 2018 - Play Offs,Cleveland Cavaliers - Indiana Pacers,100:97,1.23,4.37,13.0,1,0,2018-04-18,IND,CLE,100,97,1
POR @ NOP 2018-04-18,18 Apr 2018 - Play Offs,Portland Trail Blazers - New Orleans Pelicans,102:111,1.36,3.33,13.0,1,0,2018-04-18,NOP,POR,102,111,0
BOS @ MIL 2018-04-18,18 Apr 2018 - Play Offs,Boston Celtics - Milwaukee Bucks,120:106,1.87,1.98,13.0,1,0,2018-04-18,MIL,BOS,120,106,1
TOR @ WAS 2018-04-17,17 Apr 2018 - Play Offs,Toronto Raptors - Washington Wizards,130:119,1.33,3.49,13.0,1,0,2018-04-17,WAS,TOR,130,119,1
GSW @ SAS 2018-04-17,17 Apr 2018 - Play Offs,Golden State Warriors - San Antonio Spurs,116:101,1.17,5.48,13.0,1,0,2018-04-17,SAS,GSW,116,101,1
PHI @ MIA 2018-04-17,17 Apr 2018 - Play Offs,Philadelphia 76ers - Miami Heat,103:113,1.34,3.44,13.0,1,0,2018-04-17,MIA,PHI,103,113,0
HOU @ MIN 2018-04-16,16 Apr 2018 - Play Offs,Houston Rockets - Minnesota Timberwolves,104:101,1.09,8.09,13.0,1,0,2018-04-16,MIN,HOU,104,101,1
OKC @ UTA 2018-04-15,15 Apr 2018 - Play Offs,Oklahoma City Thunder - Utah Jazz,116:108,1.50,2.69,13.0,1,0,2018-04-15,UTA,OKC,116,108,1
CLE @ IND 2018-04-15,15 Apr 2018 - Play Offs,Cleveland Cavaliers - Indiana Pacers,80:98,1.28,3.87,13.0,1,0,2018-04-15,IND,CLE,80,98,0
BOS @ MIL 2018-04-15,15 Apr 2018 - Play Offs,Boston Celtics - Milwaukee Bucks,113:107 OT,1.59,2.47,13.0,1,0,2018-04-15,MIL,BOS,113,107,1
POR @ NOP 2018-04-15,15 Apr 2018 - Play Offs,Portland Trail Blazers - New Orleans Pelicans,95:97,1.43,2.96,13.0,1,0,2018-04-15,NOP,POR,95,97,0
PHI @ MIA 2018-04-15,15 Apr 2018 - Play Offs,Philadelphia 76ers - Miami Heat,130:103,1.41,3.07,13.0,1,0,2018-04-15,MIA,PHI,130,103,1
TOR @ WAS 2018-04-14,14 Apr 2018 - Play Offs,Toronto Raptors - Washington Wizards,114:106,1.26,4.04,13.0,1,0,2018-04-14,WAS,TOR,114,106,1
GSW @ SAS 2018-04-14,14 Apr 2018 - Play Offs,Golden State Warriors - San Antonio Spurs,113:92,1.25,4.25,13.0,1,0,2018-04-14,SAS,GSW,113,92,1
LAC @ LAL 2018-04-12,12 Apr 2018,Los Angeles Clippers - Los Angeles Lakers,100:115,1.73,2.18,13.0,0,0,2018-04-12,LAL,LAC,100,115,0
POR @ UTA 2018-04-12,12 Apr 2018,Portland Trail Blazers - Utah Jazz,102:93,1.76,2.14,13.0,0,0,2018-04-12,UTA,POR,102,93,1
SAC @ HOU 2018-04-12,12 Apr 2018,Sacramento Kings - Houston Rockets,96:83,1.80,2.1,13.0,0,0,2018-04-12,HOU,SAC,96,83,1
BOS @ BKN 2018-04-12,12 Apr 2018,Boston Celtics - Brooklyn Nets,110:97,2.54,1.56,12.0,0,0,2018-04-12,BKN,BOS,110,97,1
CHI @ DET 2018-04-12,12 Apr 2018,Chicago Bulls - Detroit Pistons,87:119,2.72,1.49,13.0,0,0,2018-04-12,DET,CHI,87,119,0
CLE @ NYK 2018-04-12,12 Apr 2018,Cleveland Cavaliers - New York Knicks,98:110,1.26,4.06,12.0,0,0,2018-04-12,NYK,CLE,98,110,0
MIA @ TOR 2018-04-12,12 Apr 2018,Miami Heat - Toronto Raptors,116:109 OT,1.70,2.22,12.0,0,0,2018-04-12,TOR,MIA,116,109,1
MIN @ DEN 2018-04-12,12 Apr 2018,Minnesota Timberwolves - Denver Nuggets,112:106 OT,1.60,2.44,13.0,0,0,2018-04-12,DEN,MIN,112,106,1
NOP @ SAS 2018-04-12,12 Apr 2018,New Orleans Pelicans - San Antonio Spurs,122:98,1.64,2.36,13.0,0,0,2018-04-12,SAS,NOP,122,98,1
OKC @ MEM 2018-04-12,12 Apr 2018,Oklahoma City Thunder - Memphis Grizzlies,137:123,1.03,16.37,12.0,0,0,2018-04-12,MEM,OKC,137,123,1
ORL @ WAS 2018-04-12,12 Apr 2018,Orlando Magic - Washington Wizards,101:92,3.15,1.38,12.0,0,0,2018-04-12,WAS,ORL,101,92,1
PHI @ MIL 2018-04-12,12 Apr 2018,Philadelphia 76ers - Milwaukee Bucks,130:95,1.37,3.23,12.0,0,0,2018-04-12,MIL,PHI,130,95,1
LAL @ HOU 2018-04-11,11 Apr 2018,Los Angeles Lakers - Houston Rockets,99:105,4.05,1.26,13.0,0,0,2018-04-11,HOU,LAL,99,105,0
UTA @ GSW 2018-04-11,11 Apr 2018,Utah Jazz - Golden State Warriors,119:79,1.29,3.83,13.0,0,0,2018-04-11,GSW,UTA,119,79,1
DAL @ PHX 2018-04-11,11 Apr 2018,Dallas Mavericks - Phoenix Suns,97:124,1.70,2.22,13.0,0,0,2018-04-11,PHX,DAL,97,124,0
WAS @ BOS 2018-04-11,11 Apr 2018,Washington Wizards - Boston Celtics,113:101,1.30,3.7,13.0,0,0,2018-04-11,BOS,WAS,113,101,1
ATL @ PHI 2018-04-10,10 Apr 2018,Atlanta Hawks - Philadelphia 76ers,113:121,5.53,1.16,13.0,0,0,2018-04-10,PHI,ATL,113,121,0
IND @ CHA 2018-04-10,10 Apr 2018,Indiana Pacers - Charlotte Hornets,93:119,1.78,2.11,13.0,0,0,2018-04-10,CHA,IND,93,119,0
LAC @ NOP 2018-04-10,10 Apr 2018,Los Angeles Clippers - New Orleans Pelicans,100:113,4.61,1.22,13.0,0,0,2018-04-10,NOP,LAC,100,113,0
DEN @ POR 2018-04-10,10 Apr 2018,Denver Nuggets - Portland Trail Blazers,88:82,1.51,2.66,13.0,0,0,2018-04-10,POR,DEN,88,82,1
SAS @ SAC 2018-04-10,10 Apr 2018,San Antonio Spurs - Sacramento Kings,98:85,1.06,10.61,13.0,0,0,2018-04-10,SAC,SAS,98,85,1
MIL @ ORL 2018-04-10,10 Apr 2018,Milwaukee Bucks - Orlando Magic,102:86,1.17,5.4,13.0,0,0,2018-04-10,ORL,MIL,102,86,1
MIN @ MEM 2018-04-10,10 Apr 2018,Minnesota Timberwolves - Memphis Grizzlies,113:94,1.04,13.35,13.0,0,0,2018-04-10,MEM,MIN,113,94,1
BKN @ CHI 2018-04-09,09 Apr 2018,Brooklyn Nets - Chicago Bulls,114:105,1.34,3.46,13.0,0,0,2018-04-09,CHI,BKN,114,105,1
MIA @ OKC 2018-04-09,09 Apr 2018,Miami Heat - Oklahoma City Thunder,93:115,2.65,1.51,13.0,0,0,2018-04-09,OKC,MIA,93,115,0
NYK @ CLE 2018-04-09,09 Apr 2018,New York Knicks - Cleveland Cavaliers,109:123,7.69,1.1,13.0,0,0,2018-04-09,CLE,NYK,109,123,0
DET @ TOR 2018-04-09,09 Apr 2018,Detroit Pistons - Toronto Raptors,98:108,3.01,1.42,13.0,0,0,2018-04-09,TOR,DET,98,108,0
PHX @ GSW 2018-04-09,09 Apr 2018,Phoenix Suns - Golden State Warriors,100:117,6.90,1.11,12.0,0,0,2018-04-09,GSW,PHX,100,117,0
LAL @ UTA 2018-04-08,08 Apr 2018,Los Angeles Lakers - Utah Jazz,97:112,4.97,1.19,12.0,0,0,2018-04-08,UTA,LAL,97,112,0
TOR @ ORL 2018-04-08,08 Apr 2018,Toronto Raptors - Orlando Magic,112:101,1.13,6.33,12.0,0,0,2018-04-08,ORL,TOR,112,101,1
MEM @ DET 2018-04-08,08 Apr 2018,Memphis Grizzlies - Detroit Pistons,130:117,3.11,1.39,13.0,0,0,2018-04-08,DET,MEM,130,117,1
BOS @ ATL 2018-04-08,08 Apr 2018,Boston Celtics - Atlanta Hawks,106:112,1.18,5.08,13.0,0,0,2018-04-08,ATL,BOS,106,112,0
CHA @ IND 2018-04-08,08 Apr 2018,Charlotte Hornets - Indiana Pacers,117:123,1.99,1.86,13.0,0,0,2018-04-08,IND,CHA,117,123,0
PHI @ DAL 2018-04-08,08 Apr 2018,Philadelphia 76ers - Dallas Mavericks,109:97,1.07,9.45,13.0,0,0,2018-04-08,DAL,PHI,109,97,1
SAS @ POR 2018-04-08,08 Apr 2018,San Antonio Spurs - Portland Trail Blazers,116:105,1.46,2.81,12.0,0,0,2018-04-08,POR,SAS,116,105,1
GSW @ NOP 2018-04-08,08 Apr 2018,Golden State Warriors - New Orleans Pelicans,120:126,1.38,3.19,13.0,0,0,2018-04-08,NOP,GSW,120,126,0
HOU @ OKC 2018-04-08,08 Apr 2018,Houston Rockets - Oklahoma City Thunder,102:108,1.48,2.75,13.0,0,0,2018-04-08,OKC,HOU,102,108,0
CHI @ BKN 2018-04-08,08 Apr 2018,Chicago Bulls - Brooklyn Nets,96:124,3.07,1.4,13.0,0,0,2018-04-08,BKN,CHI,96,124,0
NYK @ MIL 2018-04-07,07 Apr 2018,New York Knicks - Milwaukee Bucks,102:115,4.16,1.25,13.0,0,0,2018-04-07,MIL,NYK,102,115,0
LAC @ DEN 2018-04-07,07 Apr 2018,Los Angeles Clippers - Denver Nuggets,115:134,2.35,1.63,13.0,0,0,2018-04-07,DEN,LAC,115,134,0
LAL @ MIN 2018-04-07,07 Apr 2018,Los Angeles Lakers - Minnesota Timberwolves,96:113,2.80,1.47,13.0,0,0,2018-04-07,MIN,LAL,96,113,0
PHX @ NOP 2018-04-07,07 Apr 2018,Phoenix Suns - New Orleans Pelicans,103:122,7.65,1.1,13.0,0,0,2018-04-07,NOP,PHX,103,122,0
MEM @ SAC 2018-04-07,07 Apr 2018,Memphis Grizzlies - Sacramento Kings,93:94,2.46,1.59,13.0,0,0,2018-04-07,SAC,MEM,93,94,0
BOS @ CHI 2018-04-06,06 Apr 2018,Boston Celtics - Chicago Bulls,111:104,1.35,3.38,13.0,0,0,2018-04-06,CHI,BOS,111,104,1
NYK @ MIA 2018-04-06,06 Apr 2018,New York Knicks - Miami Heat,122:98,4.51,1.22,13.0,0,0,2018-04-06,MIA,NYK,122,98,1
TOR @ IND 2018-04-06,06 Apr 2018,Toronto Raptors - Indiana Pacers,92:73,1.29,3.77,13.0,0,0,2018-04-06,IND,TOR,92,73,1
DET @ DAL 2018-04-06,06 Apr 2018,Detroit Pistons - Dallas Mavericks,113:106 OT,1.34,3.44,13.0,0,0,2018-04-06,DAL,DET,113,106,1
ORL @ CHA 2018-04-06,06 Apr 2018,Orlando Magic - Charlotte Hornets,100:137,3.58,1.32,13.0,0,0,2018-04-06,CHA,ORL,100,137,0
PHI @ CLE 2018-04-06,06 Apr 2018,Philadelphia 76ers - Cleveland Cavaliers,132:130,1.62,2.39,13.0,0,0,2018-04-06,CLE,PHI,132,130,1
WAS @ ATL 2018-04-06,06 Apr 2018,Washington Wizards - Atlanta Hawks,97:103,1.14,6.12,13.0,0,0,2018-04-06,ATL,WAS,97,103,0
DEN @ MIN 2018-04-06,06 Apr 2018,Denver Nuggets - Minnesota Timberwolves,100:96,1.52,2.63,13.0,0,0,2018-04-06,MIN,DEN,100,96,1
UTA @ LAC 2018-04-06,06 Apr 2018,Utah Jazz - Los Angeles Clippers,117:95,1.30,3.71,13.0,0,0,2018-04-06,LAC,UTA,117,95,1
CLE @ WAS 2018-04-06,06 Apr 2018,Cleveland Cavaliers - Washington Wizards,119:115,1.42,2.98,13.0,0,0,2018-04-06,WAS,CLE,119,115,1
HOU @ POR 2018-04-06,06 Apr 2018,Houston Rockets - Portland Trail Blazers,96:94,1.14,6.19,12.0,0,0,2018-04-06,POR,HOU,96,94,1
MIL @ BKN 2018-04-06,06 Apr 2018,Milwaukee Bucks - Brooklyn Nets,111:119,1.20,4.8,13.0,0,0,2018-04-06,BKN,MIL,111,119,0
IND @ GSW 2018-04-05,05 Apr 2018,Indiana Pacers - Golden State Warriors,126:106,2.22,1.7,13.0,0,0,2018-04-05,GSW,IND,126,106,1
LAL @ SAS 2018-04-05,05 Apr 2018,Los Angeles Lakers - San Antonio Spurs,122:112 OT,3.24,1.37,13.0,0,0,2018-04-05,SAS,LAL,122,112,1
NOP @ MEM 2018-04-05,05 Apr 2018,New Orleans Pelicans - Memphis Grizzlies,123:95,1.07,9.63,13.0,0,0,2018-04-05,MEM,NOP,123,95,1
TOR @ BOS 2018-04-05,05 Apr 2018,Toronto Raptors - Boston Celtics,96:78,1.30,3.68,13.0,0,0,2018-04-05,BOS,TOR,96,78,1
ATL @ MIA 2018-04-04,04 Apr 2018,Atlanta Hawks - Miami Heat,86:115,3.46,1.33,13.0,0,0,2018-04-04,MIA,ATL,86,115,0
DET @ PHI 2018-04-04,04 Apr 2018,Detroit Pistons - Philadelphia 76ers,108:115,2.10,1.78,13.0,0,0,2018-04-04,PHI,DET,108,115,0
ORL @ DAL 2018-04-04,04 Apr 2018,Orlando Magic - Dallas Mavericks,105:100,1.76,2.12,13.0,0,0,2018-04-04,DAL,ORL,105,100,1
LAC @ SAS 2018-04-04,04 Apr 2018,Los Angeles Clippers - San Antonio Spurs,113:110,2.08,1.79,13.0,0,0,2018-04-04,SAS,LAC,113,110,1
PHX @ SAC 2018-04-04,04 Apr 2018,Phoenix Suns - Sacramento Kings,97:94,2.21,1.7,13.0,0,0,2018-04-04,SAC,PHX,97,94,1
DEN @ IND 2018-04-04,04 Apr 2018,Denver Nuggets - Indiana Pacers,107:104,1.53,2.6,13.0,0,0,2018-04-04,IND,DEN,107,104,1
UTA @ LAL 2018-04-04,04 Apr 2018,Utah Jazz - Los Angeles Lakers,117:110,1.12,6.86,13.0,0,0,2018-04-04,LAL,UTA,117,110,1
DAL @ POR 2018-04-04,04 Apr 2018,Dallas Mavericks - Portland Trail Blazers,115:109,3.64,1.31,13.0,0,0,2018-04-04,POR,DAL,115,109,1
MIL @ BOS 2018-04-04,04 Apr 2018,Milwaukee Bucks - Boston Celtics,106:102,1.53,2.6,13.0,0,0,2018-04-04,BOS,MIL,106,102,1
CHI @ CHA 2018-04-04,04 Apr 2018,Chicago Bulls - Charlotte Hornets,120:114,2.83,1.46,13.0,0,0,2018-04-04,CHA,CHI,120,114,1
HOU @ WAS 2018-04-04,04 Apr 2018,Houston Rockets - Washington Wizards,120:104,1.25,4.2,13.0,0,0,2018-04-04,WAS,HOU,120,104,1
OKC @ GSW 2018-04-04,04 Apr 2018,Oklahoma City Thunder - Golden State Warriors,107:111,1.57,2.5,13.0,0,0,2018-04-04,GSW,OKC,107,111,0
MIA @ ATL 2018-04-03,03 Apr 2018,Miami Heat - Atlanta Hawks,101:98,1.08,8.87,13.0,0,0,2018-04-03,ATL,MIA,101,98,1
NYK @ ORL 2018-04-03,03 Apr 2018,New York Knicks - Orlando Magic,73:97,1.87,1.97,13.0,0,0,2018-04-03,ORL,NYK,73,97,0
CLE @ TOR 2018-04-03,03 Apr 2018,Cleveland Cavaliers - Toronto Raptors,112:106,1.81,2.05,13.0,0,0,2018-04-03,TOR,CLE,112,106,1
PHI @ BKN 2018-04-03,03 Apr 2018,Philadelphia 76ers - Brooklyn Nets,121:95,1.24,4.29,13.0,0,0,2018-04-03,BKN,PHI,121,95,1
