,game,team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,year_month,home,away,fl_home
0,ATL @ BKN 2015-11-17,ATL,240.0,33.0,76.0,0.434,12.0,29.0,0.414,10.0,14.0,0.7140000000000001,8.0,36.0,44.0,22.0,7.0,7.0,20.0,17.0,88.0,,0.536,0.513,0.382,0.184,18.6,80.0,50.0,66.7,7.6,10.9,19.6,100.0,96.1,98.3,201511,BKN,ATL,0
1,ATL @ BKN 2015-11-17,BKN,240.0,37.0,84.0,0.44,9.0,20.0,0.45,7.0,13.0,0.5379999999999999,9.0,35.0,44.0,22.0,14.0,3.0,11.0,14.0,90.0,,0.502,0.494,0.238,0.155,20.0,81.4,50.0,59.5,15.3,6.4,10.9,100.0,98.3,96.1,201511,BKN,ATL,1
2,ATL @ BKN 2017-01-10,ATL,240.0,44.0,92.0,0.478,7.0,23.0,0.304,22.0,38.0,0.579,15.0,38.0,53.0,25.0,11.0,12.0,12.0,17.0,117.0,,0.5379999999999999,0.516,0.25,0.413,30.6,73.1,52.5,56.8,10.9,20.7,9.9,100.0,116.0,96.2,201701,BKN,ATL,0
3,ATL @ BKN 2017-01-10,BKN,240.0,35.0,87.0,0.402,10.0,29.0,0.345,17.0,23.0,0.7390000000000001,14.0,34.0,48.0,22.0,5.0,4.0,17.0,24.0,97.0,,0.499,0.46,0.333,0.264,26.9,69.4,47.5,62.9,5.0,5.8,14.9,100.0,96.2,116.0,201701,BKN,ATL,1
4,ATL @ BKN 2017-04-02,ATL,240.0,30.0,80.0,0.375,7.0,24.0,0.292,15.0,23.0,0.652,8.0,36.0,44.0,19.0,9.0,4.0,19.0,19.0,82.0,,0.455,0.419,0.3,0.28800000000000003,15.7,81.8,46.3,63.3,9.0,8.2,17.4,100.0,82.4,91.4,201704,BKN,ATL,0
5,ATL @ BKN 2017-04-02,BKN,240.0,32.0,82.0,0.39,10.0,33.0,0.303,17.0,20.0,0.85,8.0,43.0,51.0,21.0,11.0,6.0,19.0,22.0,91.0,,0.501,0.451,0.402,0.244,18.2,84.3,53.7,65.6,11.1,10.7,17.3,100.0,91.4,82.4,201704,BKN,ATL,1
6,ATL @ BKN 2017-10-22,ATL,240.0,32.0,94.0,0.34,7.0,27.0,0.259,33.0,36.0,0.917,16.0,32.0,48.0,21.0,6.0,2.0,16.0,25.0,104.0,,0.473,0.378,0.287,0.383,29.6,71.1,48.5,65.6,5.7,3.3,12.7,100.0,99.5,110.9,201710,BKN,ATL,0
7,ATL @ BKN 2017-10-22,BKN,240.0,41.0,87.0,0.471,11.0,27.0,0.407,23.0,34.0,0.6759999999999999,13.0,38.0,51.0,27.0,12.0,8.0,18.0,27.0,116.0,,0.569,0.534,0.31,0.391,28.9,70.4,51.5,65.9,11.5,11.9,15.0,100.0,110.9,99.5,201710,BKN,ATL,1
8,ATL @ BKN 2017-12-02,ATL,240.0,47.0,99.0,0.475,10.0,27.0,0.37,10.0,14.0,0.7140000000000001,13.0,34.0,47.0,18.0,12.0,5.0,8.0,19.0,114.0,,0.542,0.525,0.273,0.141,27.7,73.9,50.5,38.3,12.4,12.5,7.1,100.0,118.0,105.6,201712,BKN,ATL,0
9,ATL @ BKN 2017-12-02,BKN,240.0,34.0,82.0,0.415,17.0,42.0,0.405,17.0,21.0,0.81,12.0,34.0,46.0,26.0,1.0,8.0,19.0,18.0,102.0,,0.5589999999999999,0.518,0.512,0.256,26.1,72.3,49.5,76.5,1.0,11.1,17.2,100.0,105.6,118.0,201712,BKN,ATL,1
10,ATL @ BOS 2015-11-13,ATL,240.0,36.0,76.0,0.474,6.0,20.0,0.3,15.0,20.0,0.75,5.0,30.0,35.0,26.0,3.0,2.0,16.0,14.0,93.0,,0.5479999999999999,0.513,0.263,0.263,13.2,63.8,41.2,72.2,3.2,2.9,15.9,100.0,98.6,112.4,201511,BOS,ATL,0
11,ATL @ BOS 2015-11-13,BOS,240.0,42.0,103.0,0.408,11.0,33.0,0.333,11.0,12.0,0.917,17.0,33.0,50.0,27.0,10.0,7.0,10.0,18.0,106.0,,0.489,0.461,0.32,0.117,36.2,86.8,58.8,64.3,10.6,12.5,8.5,100.0,112.4,98.6,201511,BOS,ATL,1
12,ATL @ BOS 2015-12-18,ATL,240.0,41.0,88.0,0.466,4.0,20.0,0.2,23.0,29.0,0.7929999999999999,9.0,33.0,42.0,23.0,11.0,4.0,12.0,28.0,109.0,,0.541,0.489,0.227,0.33,19.6,84.6,49.4,56.1,10.7,7.4,10.6,100.0,106.3,98.5,201512,BOS,ATL,0
13,ATL @ BOS 2015-12-18,BOS,240.0,34.0,77.0,0.442,10.0,23.0,0.435,23.0,31.0,0.742,6.0,37.0,43.0,19.0,5.0,2.0,21.0,25.0,101.0,,0.557,0.506,0.299,0.403,15.4,80.4,50.6,55.9,4.9,2.9,18.8,100.0,98.5,106.3,201512,BOS,ATL,1
14,ATL @ BOS 2016-04-22,ATL,240.0,38.0,86.0,0.442,9.0,36.0,0.25,18.0,21.0,0.857,7.0,34.0,41.0,19.0,10.0,7.0,13.0,24.0,103.0,,0.541,0.494,0.419,0.244,15.9,82.9,48.2,50.0,9.9,14.0,12.0,100.0,102.3,110.2,201604,BOS,ATL,0
15,ATL @ BOS 2016-04-22,BOS,240.0,38.0,82.0,0.463,11.0,32.0,0.344,24.0,33.0,0.727,7.0,37.0,44.0,23.0,10.0,6.0,15.0,20.0,111.0,,0.575,0.53,0.39,0.402,17.1,84.1,51.8,60.5,9.9,12.0,13.5,100.0,110.2,102.3,201604,BOS,ATL,1
16,ATL @ BOS 2016-04-24,ATL,265.0,37.0,99.0,0.374,12.0,42.0,0.28600000000000003,9.0,13.0,0.6920000000000001,12.0,37.0,49.0,18.0,8.0,6.0,14.0,20.0,95.0,,0.454,0.434,0.424,0.131,23.1,75.5,48.5,48.6,7.8,9.8,11.8,100.0,93.0,101.8,201604,BOS,ATL,0
17,ATL @ BOS 2016-04-24,BOS,265.0,40.0,94.0,0.426,11.0,33.0,0.333,13.0,19.0,0.684,12.0,40.0,52.0,25.0,7.0,7.0,14.0,19.0,104.0,,0.508,0.484,0.35100000000000003,0.202,24.5,76.9,51.5,62.5,6.9,12.3,12.0,100.0,101.8,93.0,201604,BOS,ATL,1
18,ATL @ BOS 2016-04-28,ATL,240.0,38.0,74.0,0.514,8.0,24.0,0.333,20.0,27.0,0.741,3.0,39.0,42.0,26.0,6.0,12.0,18.0,23.0,104.0,,0.605,0.568,0.324,0.365,8.3,79.6,49.4,68.4,6.0,19.4,17.3,100.0,104.2,92.1,201604,BOS,ATL,0
19,ATL @ BOS 2016-04-28,BOS,240.0,34.0,94.0,0.362,7.0,32.0,0.219,17.0,18.0,0.944,10.0,33.0,43.0,16.0,5.0,4.0,12.0,29.0,92.0,,0.451,0.399,0.34,0.191,20.4,91.7,50.6,47.1,5.0,8.0,10.5,100.0,92.1,104.2,201604,BOS,ATL,1
20,ATL @ BOS 2018-04-08,ATL,240.0,43.0,86.0,0.5,15.0,35.0,0.429,11.0,14.0,0.7859999999999999,5.0,32.0,37.0,23.0,7.0,4.0,13.0,19.0,112.0,,0.608,0.5870000000000001,0.407,0.163,13.9,76.2,47.4,53.5,7.4,6.8,12.4,100.0,117.9,111.6,201804,BOS,ATL,0
21,ATL @ BOS 2018-04-08,BOS,240.0,42.0,82.0,0.512,9.0,23.0,0.391,13.0,20.0,0.65,10.0,31.0,41.0,33.0,9.0,6.0,12.0,18.0,106.0,,0.584,0.5670000000000001,0.28,0.244,23.8,86.1,52.6,78.6,9.5,11.8,11.7,100.0,111.6,117.9,201804,BOS,ATL,1
22,ATL @ CHA 2015-11-01,ATL,240.0,37.0,88.0,0.42,7.0,29.0,0.241,13.0,14.0,0.929,9.0,39.0,48.0,22.0,9.0,6.0,11.0,16.0,94.0,,0.499,0.46,0.33,0.159,20.0,81.3,51.6,59.5,9.7,12.2,10.5,100.0,101.2,99.0,201511,CHA,ATL,0
23,ATL @ CHA 2015-11-01,CHA,240.0,32.0,86.0,0.3720000000000001,14.0,37.0,0.378,14.0,15.0,0.933,9.0,36.0,45.0,27.0,7.0,13.0,11.0,14.0,92.0,,0.4970000000000001,0.453,0.43,0.174,18.8,80.0,48.4,84.4,7.5,22.0,10.6,100.0,99.0,101.2,201511,CHA,ATL,1
24,ATL @ CHA 2016-01-13,ATL,240.0,30.0,81.0,0.37,7.0,25.0,0.28,17.0,21.0,0.81,6.0,31.0,37.0,17.0,5.0,4.0,16.0,21.0,84.0,,0.465,0.414,0.309,0.259,12.2,73.8,40.7,56.7,5.1,9.3,15.1,100.0,86.5,110.2,201601,CHA,ATL,0
25,ATL @ CHA 2016-01-13,CHA,240.0,36.0,82.0,0.439,13.0,39.0,0.333,22.0,26.0,0.846,11.0,43.0,54.0,26.0,8.0,9.0,16.0,24.0,107.0,,0.573,0.518,0.476,0.317,26.2,87.8,59.3,72.2,8.2,16.1,14.6,100.0,110.2,86.5,201601,CHA,ATL,1
26,ATL @ CHA 2016-11-18,ATL,240.0,39.0,84.0,0.464,7.0,28.0,0.25,11.0,17.0,0.647,8.0,41.0,49.0,25.0,9.0,6.0,16.0,18.0,96.0,,0.525,0.506,0.333,0.202,18.2,83.7,52.7,64.1,9.0,9.8,14.9,100.0,96.3,100.3,201611,CHA,ATL,0
27,ATL @ CHA 2016-11-18,CHA,240.0,37.0,90.0,0.411,10.0,29.0,0.345,16.0,24.0,0.667,8.0,36.0,44.0,25.0,11.0,4.0,11.0,16.0,100.0,,0.4970000000000001,0.467,0.322,0.267,16.3,81.8,47.3,67.6,11.0,7.1,9.9,100.0,100.3,96.3,201611,CHA,ATL,1
28,ATL @ CHA 2017-03-20,ATL,240.0,37.0,84.0,0.44,12.0,37.0,0.324,4.0,10.0,0.4,12.0,33.0,45.0,26.0,3.0,5.0,15.0,17.0,90.0,,0.509,0.512,0.44,0.119,30.0,86.8,57.7,70.3,3.4,10.0,14.5,100.0,101.5,118.5,201703,CHA,ATL,0
29,ATL @ CHA 2017-03-20,CHA,240.0,40.0,80.0,0.5,12.0,30.0,0.4,13.0,20.0,0.65,5.0,28.0,33.0,28.0,12.0,4.0,7.0,13.0,105.0,,0.591,0.575,0.375,0.25,13.2,70.0,42.3,70.0,13.5,8.5,7.3,100.0,118.5,101.5,201703,CHA,ATL,1
30,ATL @ CHA 2017-10-20,ATL,240.0,36.0,95.0,0.379,7.0,30.0,0.233,12.0,14.0,0.857,6.0,32.0,38.0,19.0,11.0,4.0,13.0,29.0,91.0,,0.45,0.416,0.316,0.147,11.8,72.7,40.0,52.8,10.4,8.0,11.4,100.0,86.3,103.4,201710,CHA,ATL,0
31,ATL @ CHA 2017-10-20,CHA,240.0,37.0,86.0,0.43,11.0,36.0,0.306,24.0,30.0,0.8,12.0,45.0,57.0,17.0,5.0,4.0,21.0,18.0,109.0,,0.5489999999999999,0.494,0.419,0.349,27.3,88.2,60.0,45.9,4.7,6.2,17.5,100.0,103.4,86.3,201710,CHA,ATL,1
32,ATL @ CHA 2018-01-26,ATL,240.0,37.0,79.0,0.468,15.0,30.0,0.5,21.0,25.0,0.84,6.0,33.0,39.0,23.0,6.0,5.0,20.0,26.0,110.0,,0.611,0.563,0.38,0.316,15.8,75.0,47.6,62.2,6.0,9.3,18.2,100.0,109.5,120.5,201801,CHA,ATL,0
33,ATL @ CHA 2018-01-26,CHA,240.0,40.0,88.0,0.455,13.0,34.0,0.382,28.0,32.0,0.875,11.0,32.0,43.0,25.0,13.0,8.0,11.0,25.0,121.0,,0.593,0.528,0.386,0.364,25.0,84.2,52.4,62.5,12.9,16.3,9.7,100.0,120.5,109.5,201801,CHA,ATL,1
34,ATL @ CHI 2016-03-28,ATL,240.0,36.0,85.0,0.424,5.0,22.0,0.227,25.0,28.0,0.893,7.0,41.0,48.0,22.0,4.0,13.0,8.0,13.0,102.0,,0.524,0.453,0.259,0.329,14.9,69.5,45.3,61.1,4.1,15.5,7.6,100.0,105.2,103.2,201603,CHI,ATL,0
35,ATL @ CHI 2016-03-28,CHI,240.0,40.0,106.0,0.377,9.0,22.0,0.409,11.0,15.0,0.733,18.0,40.0,58.0,22.0,4.0,5.0,7.0,17.0,100.0,,0.444,0.42,0.208,0.142,30.5,85.1,54.7,55.0,4.1,7.9,5.9,100.0,103.2,105.2,201603,CHI,ATL,1
36,ATL @ CHI 2017-01-25,ATL,240.0,43.0,83.0,0.518,17.0,30.0,0.5670000000000001,16.0,19.0,0.8420000000000001,6.0,33.0,39.0,29.0,5.0,5.0,13.0,20.0,119.0,,0.6509999999999999,0.62,0.361,0.229,17.1,73.3,48.8,67.4,5.2,7.5,12.5,100.0,123.9,118.7,201701,CHI,ATL,0
37,ATL @ CHI 2017-01-25,CHI,240.0,43.0,94.0,0.457,8.0,27.0,0.29600000000000004,20.0,26.0,0.769,12.0,29.0,41.0,18.0,6.0,5.0,6.0,16.0,114.0,,0.541,0.5,0.287,0.277,26.7,82.9,51.3,41.9,6.2,9.4,5.4,100.0,118.7,123.9,201701,CHI,ATL,1
38,ATL @ CHI 2017-04-01,ATL,240.0,40.0,90.0,0.444,11.0,28.0,0.393,13.0,17.0,0.765,11.0,34.0,45.0,25.0,4.0,1.0,13.0,16.0,104.0,,0.5329999999999999,0.506,0.311,0.189,24.4,85.0,52.9,62.5,4.2,1.8,11.8,100.0,108.3,110.4,201704,CHI,ATL,0
39,ATL @ CHI 2017-04-01,CHI,240.0,40.0,85.0,0.471,12.0,30.0,0.4,14.0,14.0,1.0,6.0,34.0,40.0,25.0,6.0,4.0,12.0,17.0,106.0,,0.581,0.541,0.353,0.165,15.0,75.6,47.1,62.5,6.2,6.5,11.6,100.0,110.4,108.3,201704,CHI,ATL,1
40,ATL @ CHI 2017-10-26,ATL,240.0,32.0,81.0,0.395,11.0,28.0,0.393,11.0,13.0,0.846,7.0,33.0,40.0,22.0,10.0,5.0,10.0,23.0,86.0,,0.496,0.463,0.34600000000000003,0.16,13.7,64.7,39.2,68.8,11.2,9.3,10.3,100.0,96.2,101.8,201710,CHI,ATL,0
41,ATL @ CHI 2017-10-26,CHI,240.0,31.0,86.0,0.36,7.0,32.0,0.219,22.0,29.0,0.759,18.0,44.0,62.0,20.0,5.0,4.0,13.0,15.0,91.0,,0.461,0.401,0.3720000000000001,0.337,35.3,86.3,60.8,64.5,5.6,7.5,11.6,100.0,101.8,96.2,201710,CHI,ATL,1
42,ATL @ CLE 2015-11-21,ATL,240.0,32.0,86.0,0.3720000000000001,11.0,28.0,0.393,22.0,25.0,0.88,12.0,26.0,38.0,22.0,10.0,4.0,12.0,20.0,97.0,,0.5,0.436,0.326,0.29100000000000004,23.1,70.3,42.7,68.8,10.7,7.1,11.0,100.0,103.6,116.4,201511,CLE,ATL,0
43,ATL @ CLE 2015-11-21,CLE,240.0,41.0,85.0,0.482,11.0,29.0,0.379,16.0,19.0,0.8420000000000001,11.0,40.0,51.0,27.0,4.0,8.0,14.0,22.0,109.0,,0.584,0.547,0.341,0.224,29.7,76.9,57.3,65.9,4.3,13.8,13.0,100.0,116.4,103.6,201511,CLE,ATL,1
44,ATL @ CLE 2016-04-11,ATL,240.0,39.0,87.0,0.448,8.0,30.0,0.267,8.0,15.0,0.5329999999999999,10.0,32.0,42.0,23.0,8.0,6.0,15.0,18.0,94.0,,0.502,0.494,0.345,0.172,20.8,78.0,47.2,59.0,8.3,11.1,13.8,100.0,97.3,112.8,201604,CLE,ATL,0
45,ATL @ CLE 2016-04-11,CLE,240.0,40.0,83.0,0.482,11.0,29.0,0.379,18.0,20.0,0.9,9.0,38.0,47.0,17.0,9.0,4.0,15.0,14.0,109.0,,0.594,0.5479999999999999,0.349,0.241,22.0,79.2,52.8,42.5,9.3,7.0,14.0,100.0,112.8,97.3,201604,CLE,ATL,1
46,ATL @ CLE 2016-05-02,ATL,240.0,33.0,87.0,0.379,11.0,34.0,0.324,16.0,21.0,0.762,15.0,33.0,48.0,21.0,6.0,7.0,12.0,22.0,93.0,,0.483,0.443,0.391,0.241,30.6,76.7,52.2,63.6,6.8,13.5,11.1,100.0,104.7,117.1,201605,CLE,ATL,0
47,ATL @ CLE 2016-05-02,CLE,240.0,37.0,83.0,0.446,15.0,31.0,0.484,15.0,21.0,0.7140000000000001,10.0,34.0,44.0,27.0,9.0,7.0,8.0,20.0,104.0,,0.564,0.536,0.373,0.253,23.3,69.4,47.8,73.0,10.1,13.2,8.0,100.0,117.1,104.7,201605,CLE,ATL,1
48,ATL @ CLE 2016-05-04,ATL,240.0,30.0,71.0,0.423,11.0,27.0,0.407,27.0,30.0,0.9,8.0,32.0,40.0,18.0,3.0,3.0,16.0,23.0,98.0,,0.5820000000000001,0.5,0.38,0.423,20.5,72.7,48.2,60.0,3.3,7.1,16.0,100.0,108.4,136.1,201605,CLE,ATL,0
49,ATL @ CLE 2016-05-04,CLE,240.0,41.0,87.0,0.471,25.0,45.0,0.556,16.0,23.0,0.696,12.0,31.0,43.0,27.0,8.0,1.0,8.0,22.0,123.0,,0.633,0.615,0.517,0.264,27.3,79.5,51.8,65.9,8.9,2.3,7.6,100.0,136.1,108.4,201605,CLE,ATL,1
50,ATL @ CLE 2016-11-08,ATL,240.0,41.0,81.0,0.506,11.0,29.0,0.379,17.0,24.0,0.708,11.0,39.0,50.0,22.0,1.0,4.0,19.0,21.0,110.0,,0.601,0.574,0.358,0.29600000000000004,29.7,75.0,56.2,53.7,1.0,7.0,17.2,100.0,112.7,108.6,201611,CLE,ATL,0
51,ATL @ CLE 2016-11-08,CLE,240.0,37.0,99.0,0.374,11.0,42.0,0.262,21.0,25.0,0.84,13.0,26.0,39.0,21.0,12.0,1.0,6.0,20.0,106.0,,0.482,0.429,0.424,0.253,25.0,70.3,43.8,56.8,12.3,1.9,5.2,100.0,108.6,112.7,201611,CLE,ATL,1
52,ATL @ CLE 2017-04-07,ATL,240.0,45.0,89.0,0.506,16.0,37.0,0.4320000000000001,8.0,8.0,1.0,6.0,36.0,42.0,39.0,7.0,3.0,11.0,17.0,114.0,,0.616,0.596,0.416,0.09,14.6,92.3,52.5,86.7,7.2,6.7,10.6,100.0,117.7,103.3,201704,CLE,ATL,0
53,ATL @ CLE 2017-04-07,CLE,240.0,39.0,81.0,0.481,9.0,36.0,0.25,13.0,17.0,0.765,3.0,35.0,38.0,23.0,5.0,3.0,13.0,10.0,100.0,,0.565,0.537,0.444,0.21,7.7,85.4,47.5,59.0,5.2,5.8,12.8,100.0,103.3,117.7,201704,CLE,ATL,1
54,ATL @ CLE 2017-11-05,ATL,240.0,41.0,86.0,0.477,11.0,25.0,0.44,24.0,34.0,0.706,11.0,33.0,44.0,24.0,4.0,6.0,17.0,20.0,117.0,,0.579,0.541,0.29100000000000004,0.395,25.6,68.8,48.4,58.5,3.9,10.0,14.4,100.0,114.5,112.5,201711,CLE,ATL,0
55,ATL @ CLE 2017-11-05,CLE,240.0,42.0,96.0,0.438,10.0,36.0,0.278,21.0,23.0,0.913,15.0,32.0,47.0,27.0,6.0,6.0,13.0,29.0,115.0,,0.542,0.49,0.375,0.24,31.3,74.4,51.6,64.3,5.9,9.8,10.9,100.0,112.5,114.5,201711,CLE,ATL,1
56,ATL @ CLE 2017-12-12,ATL,240.0,43.0,92.0,0.467,16.0,36.0,0.444,12.0,13.0,0.923,10.0,27.0,37.0,26.0,8.0,4.0,10.0,17.0,114.0,,0.583,0.5539999999999999,0.391,0.141,24.4,81.8,50.0,60.5,8.4,8.3,9.3,100.0,120.0,129.5,201712,CLE,ATL,0
57,ATL @ CLE 2017-12-12,CLE,240.0,48.0,86.0,0.5579999999999999,20.0,38.0,0.526,7.0,10.0,0.7,6.0,31.0,37.0,35.0,5.0,2.0,13.0,18.0,123.0,,0.68,0.674,0.442,0.116,18.2,75.6,50.0,72.9,5.3,3.6,12.6,100.0,129.5,120.0,201712,CLE,ATL,1
58,ATL @ DAL 2015-12-09,ATL,240.0,39.0,81.0,0.481,6.0,20.0,0.3,14.0,18.0,0.778,6.0,41.0,47.0,26.0,7.0,7.0,14.0,19.0,98.0,,0.551,0.519,0.247,0.222,16.2,67.2,48.0,66.7,7.4,10.1,13.6,100.0,103.7,100.5,201512,DAL,ATL,0
59,ATL @ DAL 2015-12-09,DAL,240.0,36.0,100.0,0.36,7.0,31.0,0.226,16.0,19.0,0.8420000000000001,20.0,31.0,51.0,18.0,7.0,3.0,9.0,15.0,95.0,,0.438,0.395,0.31,0.19,32.8,83.8,52.0,50.0,7.4,4.9,7.7,100.0,100.5,103.7,201512,DAL,ATL,1
60,ATL @ DAL 2017-01-07,ATL,240.0,30.0,74.0,0.405,11.0,22.0,0.5,26.0,32.0,0.813,6.0,41.0,47.0,19.0,8.0,1.0,10.0,15.0,97.0,,0.551,0.48,0.297,0.4320000000000001,14.6,87.2,53.4,63.3,8.7,2.2,10.2,100.0,106.0,89.6,201701,DAL,ATL,0
61,ATL @ DAL 2017-01-07,DAL,240.0,32.0,82.0,0.39,9.0,36.0,0.25,9.0,10.0,0.9,6.0,35.0,41.0,18.0,7.0,3.0,14.0,25.0,82.0,,0.475,0.445,0.439,0.122,12.8,85.4,46.6,56.3,7.6,5.8,13.9,100.0,89.6,106.0,201701,DAL,ATL,1
62,ATL @ DAL 2017-10-18,ATL,240.0,48.0,94.0,0.511,9.0,18.0,0.5,12.0,15.0,0.8,14.0,36.0,50.0,20.0,11.0,6.0,13.0,18.0,117.0,,0.5820000000000001,0.5589999999999999,0.191,0.16,30.4,80.0,54.9,41.7,11.2,14.6,11.4,100.0,118.7,112.6,201710,DAL,ATL,0
63,ATL @ DAL 2017-10-18,DAL,240.0,38.0,86.0,0.442,17.0,45.0,0.378,18.0,21.0,0.857,9.0,32.0,41.0,27.0,5.0,4.0,15.0,19.0,111.0,,0.583,0.541,0.523,0.244,20.0,69.6,45.1,71.1,5.1,5.3,13.6,100.0,112.6,118.7,201710,DAL,ATL,1
64,ATL @ DEN 2016-01-25,ATL,240.0,43.0,86.0,0.5,9.0,27.0,0.333,24.0,26.0,0.923,10.0,32.0,42.0,28.0,11.0,3.0,14.0,24.0,119.0,,0.611,0.552,0.314,0.302,24.4,72.7,49.4,65.1,11.1,4.7,12.6,100.0,120.1,106.0,201601,DEN,ATL,0
65,ATL @ DEN 2016-01-25,DEN,240.0,33.0,84.0,0.393,6.0,20.0,0.3,33.0,37.0,0.892,12.0,31.0,43.0,18.0,10.0,3.0,15.0,18.0,105.0,,0.524,0.429,0.238,0.44,27.3,75.6,50.6,54.5,10.1,5.1,13.0,100.0,106.0,120.1,201601,DEN,ATL,1
66,ATL @ DEN 2016-12-23,ATL,240.0,37.0,86.0,0.43,8.0,25.0,0.32,27.0,33.0,0.818,9.0,31.0,40.0,26.0,10.0,4.0,8.0,25.0,109.0,,0.542,0.477,0.29100000000000004,0.384,18.8,81.6,46.5,70.3,10.2,7.5,7.4,100.0,111.1,110.0,201612,DEN,ATL,0
67,ATL @ DEN 2016-12-23,DEN,240.0,37.0,78.0,0.474,8.0,25.0,0.32,26.0,35.0,0.743,7.0,39.0,46.0,27.0,3.0,7.0,15.0,29.0,108.0,,0.578,0.526,0.321,0.449,18.4,81.3,53.5,73.0,3.1,11.5,13.8,100.0,110.0,111.1,201612,DEN,ATL,1
68,ATL @ DEN 2018-01-10,ATL,240.0,40.0,80.0,0.5,12.0,27.0,0.444,18.0,18.0,1.0,6.0,38.0,44.0,25.0,6.0,4.0,16.0,23.0,110.0,,0.626,0.575,0.338,0.225,18.8,73.1,52.4,62.5,6.2,6.9,15.4,100.0,113.5,100.1,201801,DEN,ATL,0
69,ATL @ DEN 2018-01-10,DEN,240.0,38.0,95.0,0.4,9.0,37.0,0.243,12.0,20.0,0.6,14.0,26.0,40.0,27.0,13.0,6.0,12.0,18.0,97.0,,0.467,0.447,0.389,0.211,26.9,81.3,47.6,71.1,13.4,11.3,10.4,100.0,100.1,113.5,201801,DEN,ATL,1
70,ATL @ DET 2016-03-16,ATL,240.0,39.0,89.0,0.438,12.0,34.0,0.353,28.0,34.0,0.8240000000000001,8.0,38.0,46.0,25.0,10.0,3.0,12.0,26.0,118.0,,0.568,0.506,0.382,0.382,17.0,80.9,48.9,64.1,9.6,5.1,10.3,100.0,113.0,109.2,201603,DET,ATL,0
71,ATL @ DET 2016-03-16,DET,240.0,39.0,84.0,0.464,8.0,25.0,0.32,28.0,39.0,0.718,9.0,39.0,48.0,23.0,3.0,4.0,13.0,25.0,114.0,,0.563,0.512,0.298,0.464,19.1,83.0,51.1,59.0,2.9,7.3,11.4,100.0,109.2,113.0,201603,DET,ATL,1
72,ATL @ DET 2016-03-26,ATL,240.0,43.0,95.0,0.453,13.0,34.0,0.382,13.0,14.0,0.929,5.0,34.0,39.0,34.0,6.0,7.0,4.0,21.0,112.0,,0.5539999999999999,0.521,0.358,0.147,11.4,70.8,42.4,79.1,6.3,11.9,3.8,100.0,116.9,99.2,201603,DET,ATL,0
73,ATL @ DET 2016-03-26,DET,240.0,34.0,88.0,0.386,7.0,29.0,0.241,20.0,28.0,0.7140000000000001,14.0,39.0,53.0,25.0,2.0,4.0,11.0,14.0,95.0,,0.473,0.426,0.33,0.318,29.2,88.6,57.6,73.5,2.1,6.6,9.9,100.0,99.2,116.9,201603,DET,ATL,1
74,ATL @ DET 2017-01-18,ATL,240.0,30.0,78.0,0.385,6.0,25.0,0.24,29.0,37.0,0.784,8.0,24.0,32.0,22.0,1.0,4.0,12.0,21.0,95.0,,0.504,0.423,0.321,0.474,16.0,57.1,34.8,73.3,1.1,6.1,11.3,100.0,100.2,124.4,201701,DET,ATL,0
75,ATL @ DET 2017-01-18,DET,240.0,45.0,91.0,0.495,10.0,25.0,0.4,18.0,28.0,0.643,18.0,42.0,60.0,27.0,6.0,0.0,12.0,29.0,118.0,,0.5710000000000001,0.5489999999999999,0.275,0.308,42.9,84.0,65.2,60.0,6.3,0.0,10.4,100.0,124.4,100.2,201701,DET,ATL,1
76,ATL @ DET 2017-11-10,ATL,240.0,44.0,89.0,0.494,8.0,24.0,0.333,8.0,11.0,0.727,11.0,34.0,45.0,28.0,11.0,7.0,15.0,21.0,104.0,,0.5539999999999999,0.539,0.27,0.124,26.2,63.0,46.9,63.6,11.4,11.9,13.8,100.0,107.9,115.2,201711,DET,ATL,0
77,ATL @ DET 2017-11-10,DET,240.0,39.0,89.0,0.438,12.0,30.0,0.4,21.0,27.0,0.778,20.0,31.0,51.0,23.0,7.0,5.0,17.0,18.0,111.0,,0.55,0.506,0.337,0.303,37.0,73.8,53.1,59.0,7.3,7.7,14.4,100.0,115.2,107.9,201711,DET,ATL,1
78,ATL @ GSW 2016-03-01,ATL,265.0,37.0,80.0,0.463,12.0,33.0,0.364,19.0,24.0,0.792,7.0,35.0,42.0,25.0,9.0,5.0,17.0,17.0,105.0,,0.58,0.5379999999999999,0.413,0.3,17.5,66.0,45.2,67.6,9.1,7.5,15.8,100.0,106.7,110.8,201603,GSW,ATL,0
79,ATL @ GSW 2016-03-01,GSW,265.0,41.0,103.0,0.398,12.0,36.0,0.333,15.0,17.0,0.882,18.0,33.0,51.0,28.0,11.0,3.0,11.0,22.0,109.0,,0.493,0.456,0.35,0.165,34.0,82.5,54.8,68.3,11.2,6.4,9.1,100.0,110.8,106.7,201603,GSW,ATL,1
80,ATL @ GSW 2016-11-28,ATL,240.0,36.0,85.0,0.424,7.0,29.0,0.241,21.0,30.0,0.7,13.0,37.0,50.0,20.0,11.0,4.0,18.0,22.0,100.0,,0.509,0.465,0.341,0.353,27.7,84.1,54.9,55.6,10.9,8.0,15.5,100.0,99.5,104.5,201611,GSW,ATL,0
