,game,team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,year_month,home,away,fl_home
5886,SAC @ PHX 2016-10-26,PHX,240.0,36.0,77.0,0.468,4.0,16.0,0.25,18.0,27.0,0.667,10.0,31.0,41.0,20.0,6.0,3.0,18.0,29.0,94.0,,0.529,0.494,0.208,0.35100000000000003,24.4,75.6,50.0,55.6,6.2,4.6,16.8,100.0,97.1,116.8,201610,PHX,SAC,1
5887,SAC @ PHX 2016-10-26,SAC,240.0,44.0,86.0,0.512,6.0,21.0,0.28600000000000003,19.0,26.0,0.731,10.0,31.0,41.0,24.0,5.0,5.0,13.0,20.0,113.0,,0.58,0.547,0.244,0.302,24.4,75.6,50.0,54.5,5.2,8.2,11.8,100.0,116.8,97.1,201610,PHX,SAC,0
5888,SAC @ PHX 2017-03-15,PHX,240.0,43.0,107.0,0.402,6.0,25.0,0.24,9.0,14.0,0.643,16.0,31.0,47.0,24.0,9.0,11.0,13.0,25.0,101.0,,0.446,0.43,0.234,0.131,28.6,79.5,49.5,55.8,8.7,16.9,10.3,100.0,97.3,103.1,201703,PHX,SAC,1
5889,SAC @ PHX 2017-03-15,SAC,240.0,38.0,79.0,0.481,6.0,14.0,0.429,25.0,34.0,0.735,8.0,40.0,48.0,22.0,8.0,11.0,18.0,18.0,107.0,,0.569,0.519,0.177,0.43,20.5,71.4,50.5,57.9,7.7,13.4,16.1,100.0,103.1,97.3,201703,PHX,SAC,0
5890,SAC @ PHX 2017-10-23,PHX,240.0,42.0,77.0,0.545,10.0,30.0,0.333,23.0,27.0,0.852,6.0,39.0,45.0,20.0,6.0,5.0,20.0,25.0,117.0,,0.6579999999999999,0.61,0.39,0.35100000000000003,20.0,75.0,54.9,47.6,5.9,6.5,18.4,100.0,114.2,112.2,201710,PHX,SAC,1
5891,SAC @ PHX 2017-10-23,SAC,240.0,43.0,99.0,0.434,9.0,22.0,0.409,20.0,29.0,0.69,13.0,24.0,37.0,19.0,13.0,2.0,9.0,25.0,115.0,,0.514,0.48,0.222,0.293,25.0,80.0,45.1,44.2,12.7,4.3,7.5,100.0,112.2,114.2,201710,PHX,SAC,0
5892,SAC @ PHX 2018-04-03,PHX,240.0,35.0,77.0,0.455,6.0,17.0,0.353,21.0,33.0,0.636,6.0,46.0,52.0,18.0,6.0,5.0,14.0,22.0,97.0,,0.53,0.494,0.221,0.429,16.7,82.1,56.5,51.4,6.2,8.1,13.3,100.0,99.9,96.8,201804,PHX,SAC,1
5893,SAC @ PHX 2018-04-03,SAC,240.0,33.0,89.0,0.371,11.0,27.0,0.407,17.0,23.0,0.7390000000000001,10.0,30.0,40.0,20.0,5.0,5.0,10.0,24.0,94.0,,0.474,0.433,0.303,0.258,17.9,83.3,43.5,60.6,5.1,8.3,9.2,100.0,96.8,99.9,201804,PHX,SAC,0
5894,SAC @ POR 2016-01-26,POR,240.0,44.0,90.0,0.489,9.0,30.0,0.3,15.0,19.0,0.789,10.0,38.0,48.0,28.0,6.0,8.0,12.0,23.0,112.0,,0.569,0.539,0.333,0.211,22.2,79.2,51.6,63.6,6.0,11.9,10.9,100.0,112.4,97.3,201601,POR,SAC,1
5895,SAC @ POR 2016-01-26,SAC,240.0,36.0,86.0,0.419,7.0,19.0,0.368,18.0,32.0,0.563,10.0,35.0,45.0,26.0,7.0,5.0,13.0,18.0,97.0,,0.485,0.459,0.221,0.3720000000000001,20.8,77.8,48.4,72.2,7.0,8.3,11.5,100.0,97.3,112.4,201601,POR,SAC,0
